,hostel_name,city,distance_center_km,average_rating,number_reviews,price_usd
767,Hostel Tralala Salento,Salento,0.1,8.4,537,6.30
768,La Floresta Hostel,Salento,0.3,9.3,722,5.80
769,Soa Hostel,Salento,0.4,8.5,9,10.09
770,The Plantation House Too,Salento,0.4,9.5,37,12.61
771,Villas de Venecia,Salento,1.7,0.0,10,3.15
772,Hostal Estrella de Agua,Salento,0.1,8.3,94,0.88
773,Hostal Vistaguila,Salento,0.5,9.7,11,11.77
774,Casa La Eliana,Salento,0.3,9.6,98,6.30
775,Casa Alto Del Coronel,Salento,0.3,10.0,5,5.67
776,Mahalo Hostel,Salento,0.4,9.0,2,11.00
777,Hostal Ciudad de Segorbe,Salento,0.2,4.6,55,7.87
778,Hostal Girasoles,Salento,0.5,0.0,0,7.57
779,Kilómetro Cero Hostel,Salento,0.3,0.0,0,7.57
780,La Posada del Cucu,Salento,2.5,0.0,0,13.11
781,Hotel Mirador de Boquia,Salento,1.4,0.0,0,17.86
782,Casa Borbon,Salento,0.2,0.0,0,16.81
783,Hostal Finca Cardonales,Salento,0.6,0.0,1,16.39
784,Hostel Boutique Palmas de  Salento,Salento,0.3,9.2,41,12.10
785,Finca La Manchuria,Salgar,2.7,0.0,0,11.35
786,Masaya San Agustin,San-Agustin,1.9,9.8,99,6.10
787,Hotel Casa De Nelly,San-Agustin,1.5,9.7,421,5.80
788,Hostal Bambú,San-Agustin,0.9,9.6,223,4.54
789,Hostal Music y Art,San-Agustin,0.5,9.7,24,4.29
790,Finca El Maco,San-Agustin,2.1,0.0,0,6.72
791,Viajero San Andres Hostel,San-Andres-Island,1.4,7.3,2483,16.00
792,Karibbik Haus Hostel,San-Andres-Island,1.1,9.0,267,13.87
793,Republica Hostel San Andres,San-Andres-Island,7 fr,8.3,68,18.69
794,The Rock House Hostel,San-Andres-Island,0.7,8.9,73,12.61
795,Blue Almond Hostel,San-Andres-Island,1.1,9.3,607,12.61
796,On Vacation Tone Blue,San-Andres-Island,1.6,0.0,0,45.18
797,On vacation Magic Hill,San-Andres-Island,2.6,0.0,0,56.79
798,My Total Experience,San-Andres-Island,0.8,9.7,24,20.20
799,Derma´s Inn,San-Andres-Island,2.1,0.0,1,15.89
800,Verano Azul San Andres Isla,San-Andres-Island,1 fr,8.0,9,17.65
801,Hostal Palo Alto,San-Andres-Island,0.8,2.0,2,11.00
802,Sheylla's Place PathWay,San-Andres-Island,1.8,0.0,13,37.83
803,On Vacation Blue Cove,San-Andres-Island,6.6,0.0,0,45.18
804,Casa Finca El Karaho,San-Andres-Island,9.7,0.0,0,24.38
805,Hostel Stingray,San-Andres-Island,1.1,0.0,0,11.91
806,Alojamiento Santa Julia,San-Andres-Island,1.6,0.0,0,16.34
807,Hostal Queen Elizabeth,San-Andres-Island,2.5,0.0,0,24.50
808,Providence Breeze,San-Andres-Island,0.6,5.3,4,11.35
809,Hostal Mar y Mar,San-Andres-Island,1.3,0.0,7,25.22
810,Apartamento en San Andrés. Comfort Inn,San-Andres-Island,0.9,0.0,0,21.43
811,Siloe Cove Hospedaje Boutique,San-Andres-Island,6.5,0.0,51,18.91
812,On Vacation Tower,San-Andres-Island,1.6,0.0,0,64.54
813,On Vacation Blue Reef,San-Andres-Island,0.6,0.0,0,45.18
814,Macondo Hostel,San-Gil,0.7,9.9,739,5.30
815,SamS VIP Hostel San Gil,San-Gil,0.6,9.5,851,5.22
816,La Mansion Hostel,San-Gil,0.5,9.3,308,3.93
817,Traveler Hostel San Gil,San-Gil,0.3,9.4,87,4.41
818,Hostel Trip Monkey,San-Gil,1.1,9.8,24,5.55
819,Hostel Nirvana San Gil,San-Gil,1.5,8.3,253,4.99
820,Ambar Hostel San Gil,San-Gil,1.2,9.9,5,6.93
821,Hostal La Casona de don Juan,San-Gil,0.7,10.0,19,3.78
822,La Hacienda,San-Gil,4.3,10.0,11,5.04
823,Hostel montañita,San-Gil,2.2,0.0,0,5.04
824,Bacaregua Hostel,San-Gil,0.3,10.0,223,4.79
825,Adventure Hostel,San-Gil,0.5,10.0,3,5.04
826,Meraki Boutique Hostel,San-Gil,0.7,0.0,0,11.35
827,Hotel Campestre Monterrey,San-Gil,2.3,0.0,0,7.57
828,Green Door Boutique,San-Gil,0.9,0.0,0,3.49
829,Hostel Santander Aleman,San-Gil,0.9,0.0,9,5.93
830,Amukan Guest House,San-Rafael,1.4,10.0,2,13.00
831,Willy Hostel,San-Rafael,1 fr,9.9,10,1900.00
832,Rogupani Hostel,San-Rafael,1.5,7.3,87,2.01
833,casArtero eco posada,San-Rafael,12 f,0.0,0,25.67
834,Casa De Verano,Santa-Fe-de-Antioquia,1.3,10.0,38,20.43
835,El Rio Hostel,Santa-Marta,47.6,9.3,1269,6.30
836,Viajero Santa Marta,Santa-Marta,2 fr,9.4,345,9.58
837,The Journey Hostel,Santa-Marta,33.1,9.2,703,10.00
838,Masaya Santa Marta,Santa-Marta,1.3,9.0,1656,8.83
839,Distrito Hostel,Santa-Marta,1.8,9.5,145,7.55
840,La Brisa Loca,Santa-Marta,1.4,8.9,2525,7.93
841,Dreamer Santa Marta,Santa-Marta,3.9,9.0,5374,8.07
842,Tunido,Santa-Marta,1.3,9.6,203,8.70
843,Flamingo Hostel & Coworking,Santa-Marta,1.4,8.0,40,8.83
844,Casa Avelina,Santa-Marta,0.7,8.9,37,10.09
845,Mama Tayrona Jungle Hostel,Santa-Marta,22.8,8.9,140,9.58
846,Playa del Ritmo,Santa-Marta,9.4,9.2,463,8.07
847,La Puerta Azul by Ankeva,Santa-Marta,1.1,9.7,8,8.83
848,Sierra Minca,Santa-Marta,14.9,5.9,13,15.13
849,Fatima Hostel Santa Marta,Santa-Marta,1.7,7.7,642,7.57
850,La Brisa Tranquila,Santa-Marta,38.8,8.4,758,7.57
851,Rokadura Hostel,Santa-Marta,2.4,8.6,34,6.30
852,Puerto Alto Hostel,Santa-Marta,45.2,8.4,7,10.09
853,Musa Paradisiaca Hostal,Santa-Marta,2.5,9.5,9,11.35
854,Faro de Alejandria Hostel,Santa-Marta,1.5,6.5,76,0.25
855,Los Hermanos Beach Hostal,Santa-Marta,38.9,9.3,120,12.10
856,Eco Hostal Yuluka,Santa-Marta,29.3,8.6,322,8.83
857,Reserva Biologica Caoba,Santa-Marta,12.3,9.7,22,8.83
858,Hostal KAIA,Santa-Marta,2 fr,7.4,272,5.55
859,Hotel Parque de los Novios Inn,Santa-Marta,1.7,9.1,1,13.24
860,Aroha Villana,Santa-Marta,1.5,9.2,5,6.30
861,Playa los Angeles,Santa-Marta,34.3,8.5,9,17.80
862,Onaca Hostal,Santa-Marta,6 fr,9.9,3,8.12
863,Color Hostel,Santa-Marta,2.2,7.6,50,8.32
864,Hostal CasaMart,Santa-Marta,6.4,9.5,15,0.25
865,Summer Hostal Gastro Bar,Santa-Rosa-de-Cabal,0.4,9.9,2,7.57
866,Kimana Hostal,Santa-Rosa-de-Cabal,0.4,9.0,3,7.31
867,Hostal La Cazihita,Sogamoso,0.2,0.0,35,8.57
868,Nirvana Hostel Taganga,Taganga,0.4,9.0,406,7.57
869,Divanga Hostel,Taganga,0.3,9.6,903,8.83
870,Hostal Palohe Taganga,Taganga,0.1,9.6,128,10.09
871,Hostal La Casa de Felipe,Taganga,0.7,9.2,191,6.96
872,La Tortuga Hostel,Taganga,0.3,8.6,316,9.00
873,La Masia Summer Hostel,Taganga,0.4,6.3,140,10.09
874,Santa Lova,Tintipan-Island,0.5,0.0,0,18.91
875,Hostal Renacer,Villa-de-Leyva,1.7,9.2,359,7.57
876,Selina Villa de Leyva,Villa-de-Leyva,0.1,8.7,29,12.06
877,Nibiru Hostel,Villa-de-Leyva,0.2,9.8,18,11.35
878,Hostal Xue,Villa-de-Leyva,0.2,9.9,445,0.76
879,Travellers Home Mini Hostel,Villa-de-Leyva,0.1,9.9,3,14.12
880,Casa Mediterranea,Villa-de-Leyva,0.8,10.0,3,11.35
881,Hostal Rana,Villa-de-Leyva,0.1,8.8,359,7.57
882,Hotel Verona Villa de Leyva,Villa-de-Leyva,0.1,10.0,1,21.43
883,Family Host World,Villa-de-Leyva,0.5,8.1,189,0.00
884,Hospedaje La Tierrita,Villa-de-Leyva,3 fr,0.0,0,17.40
885,Hospedaje LAURELES de la villa,Villa-de-Leyva,0.2,0.0,0,11.35
886,Hospederia Sol Del Desierto,Villavieja,0.5,8.7,8,10.09
887,Community Hostel Alausi,Alausi,0.1,9.5,161,12.50
888,Erupcion Art Hotel & Hostel,Banos,0.1,9.1,737,6.67
889,Great Hostels,Banos,0.4,9.6,980,8.99
890,Papachos Hostel,Banos,0.5,9.2,857,8.90
891,Hostal Chimenea,Banos,0.4,9.1,328,9.00
892,Selina Banos,Banos,0.2,8.7,152,12.00
893,La Casa del Molino Blanco,Banos,0.6,9.3,482,9.97
894,Mama Tungu Hostel,Banos,2.4,9.4,9,8.50
895,Hostal Transilvania,Banos,0.2,7.1,289,6.00
896,Mystic Travel Lodge,Banos,1.3,7.5,3,17.50
897,Casa Santa Lucia,Banos,0.9,10.0,3,11.67
898,Princesa Maria,Banos,0.4,9.4,537,10.00
899,Hostal Casa Amarilla City,Banos,0.4,9.2,36,10.00
900,Le Petit Jardin,Banos,0.2,0.0,0,10.00
901,Hostal Viajeros Backpackers,Banos,0.3,0.0,19,10.00
902,Hostal Llanovientos,Banos,0.5,0.0,5,13.00
903,Rincón Baneño,Banos-de-Agua-Santa,0.5,8.6,2,4.00
904,Hostal Los Andes,Banos-de-Agua-Santa,0.5,0.0,0,8.75
905,Hostel Coco Loco,Canoa,0.4,9.9,82,14.11
906,Hotel Rutamar,Canoa,0.4,9.7,8,11.25
907,Rio Muchacho,Canoa,8.1,9.7,4,4.23
908,Hostal Cloud Forest,Chugchilan,1.1,9.5,156,17.00
909,Casa Michael,Guayaquil,3.1,8.2,380,8.00
910,Hostel Nucapacha,Guayaquil,1.3,8.9,578,13.07
911,Manso Boutique Guesthouse,Guayaquil,3.8,7.9,425,17.00
912,Dreamkapture Hostel,Guayaquil,3.5,7.9,672,8.93
913,Villa Maria,Guayaquil,3.2,9.7,44,9.50
914,Dc suites,Guayaquil,2.1,8.3,30,15.00
915,Murali Hostal Airport,Guayaquil,3.1,7.0,115,13.00
916,Thefunkymonkeyhostel,Guayaquil,1.7,8.0,184,8.12
917,Pepe's House Guayaquil | Self-Check-In MicroH,Guayaquil,3.4,9.0,2,20.90
918,Hello! Las Peñas Siglo XXI Guesthouse,Guayaquil,3.3,0.0,0,30.00
919,Refugio Terra Esperanza,Ibarra,8.7,9.4,31,8.00
920,Hostal Casa Aida,Ibarra,9 fr,10.0,14,6.67
921,Hostal Fevilamir,Ibarra,2.1,0.0,4,11.40
922,Casa Franco and Leticia,Las-Tunas,2.1,0.0,2,10.00
923,Hostal Cafe Tiana,Latacunga,0.2,9.2,866,10.50
924,Cuscungo Cotopaxi,Latacunga,25.5,9.5,102,10.00
925,Latacunga Hostel,Latacunga,0.2,10.0,8,24.00
926,Hostal Rosita Latacunga,Latacunga,0.6,10.0,1,7.50
927,Hostel Tierra De Fuego,Latacunga,1.1,7.7,18,5.50
928,Hotel Tambopaxi Lodge,Machachi,15.3,7.7,3,38.89
929,Casa del Montañero,Machachi,0.2,0.0,0,15.45
930,Albergue Español & Ceibo Lodge,Misahualli,0.3,10.0,5,8.00
931,The Mudhouse Hostel,Mompiche,0.2,10.0,138,9.00
932,Hidden House Mompiche,Mompiche,0.6,9.7,59,5.00
933,Hostal - Camping Sin Fronteras,Mompiche,0.5,10.0,4,2.50
934,La Facha Surf Hostel - Restaurant,Mompiche,0.6,0.0,4,10.00
935,La Casa Mompiche,Mompiche,0.6,10.0,1,5.00
936,Maracumbo Lodge,Mompiche,0.2,0.0,18,6.00
937,Hidden House Hostel Montañita,Montanita,0.2,8.8,541,1.00
938,Hostal Casa del Sol,Montanita,0.8,9.7,125,14.00
939,Kamala Surf and Backpacker Hostel,Montanita,2.3,9.5,30,6.00
940,My Little House Surf&backpacker Hostel,Montanita,0.1,9.3,879,7.00
941,ESPERANTO B&B Surf & Backpacker hostel,Montanita,0.1,9.7,896,4.00
942,Selina Montañita,Montanita,0.2,8.1,65,13.00
943,Sapa Inka Hostel,Montanita,0.1,9.6,157,7.00
944,Hostal Moai B&B Surfcamp,Montanita,0.1,7.9,194,8.50
945,Kiwi Hostel Montanita,Montanita,0.4,7.2,194,7.00
946,Hostal Kundalini,Montanita,0.2,9.1,62,19.04
947,Montezuma Hostel,Montanita,0.1,2.0,4,9.04
948,Arrels Hostel,Montanita,0.5,3.4,2,3.63
949,El Cielo,Montanita,0.6,9.6,170,8.00
950,Casa Cacique Lodge,Montanita,0.6,0.0,0,10.00
951,Al Carajo House,Montanita,0.1,0.0,1,7.50
952,Tikilimbo surf hostel & restaurant,Montanita,0.2,0.0,8,23.00
953,Hostal Buen Dia,Montanita,0.2,0.0,0,25.00
954,Tiki Trip Montanita,Montanita,0.2,8.9,15,3.33
955,El Gran Azul,Olon,148.1,8.3,13,9.00
956,El Andariego,Otavalo,0.7,8.7,20,12.00
957,El Tio Hostal,Otavalo,5.6,9.7,43,6.50
958,Hostal Flying Donkey,Otavalo,0.9,8.6,28,2.50
959,Cabañas Balcon del lago,Otavalo,6.4,4.0,18,7.50
960,Hospedaje Los Ponchos,Otavalo,0.5,0.0,12,11.00
961,Hosteria Rose Cottage,Otavalo,4 fr,9.4,184,12.00
962,Hostal La Rosa Otavalo,Otavalo,0.9,9.4,26,9.00
963,The Traveler Hostel,Otavalo,1.2,10.0,1,13.33
964,Pacheco Farmhouse,Otavalo,32.2,0.0,30,15.00
965,LomaWasi,Otavalo,10.3,9.7,22,9.00
966,Hostal Otavalos Inn,Otavalo,0.6,8.6,77,11.50
967,Hostal Curinan,Otavalo,1.6,0.0,7,11.00
968,Yemayá Hostal,Puerto-Lopez,0.8,8.7,73,10.00
969,Alcazaba,Puerto-Lopez,0.9,7.4,22,17.00
970,My Best Stay Piedra del Mar,Puerto-Lopez,0.8,5.8,144,14.00
971,Nativa Whale Domes,Puerto-Lopez,1.4,0.0,0,8.00
972,Hostal Humpback International,Puerto-Lopez,1 fr,3.9,2,18.57
973,The Secret Garden Quito,Quito,1.2,9.2,3386,10.00
974,Selina Quito,Quito,3.6,9.3,134,10.00
975,Masaya Quito,Quito,0.3,9.1,438,8.68
976,Community Hostel,Quito,0.9,9.7,1621,9.00
977,Minka Hostel,Quito,1.3,9.7,501,9.00
978,Rebel Hostel,Quito,0.4,9.8,351,8.00
979,Colonial House Inn,Quito,1.1,9.7,656,9.70
980,Hostel Revolution,Quito,1.6,9.8,1210,9.00
981,Huasi Lodge,Quito,1.1,9.4,213,8.00
982,Friends Hotel & Rooftop,Quito,0.5,10.0,140,8.55
983,Blue House,Quito,3.3,9.0,469,8.00
984,Hotel Miguel Angel Terminal Quitumbe,Quito,7.9,0.0,6,25.00
985,Travellers Inn,Quito,3.7,9.7,588,14.50
986,Posada del Maple,Quito,3.5,9.8,120,13.58
987,The Secret Garden Cotopaxi,Quito,31.8,9.8,7,91.05
988,Casa Carpedm,Quito,1.2,8.3,218,12.00
989,The Quito Guest House with Yellow Balconies,Quito,1.5,10.0,10,12.50
990,Heritage Inn,Quito,3.3,0.0,23,14.50
991,Hostal Marsella,Quito,1.5,0.0,437,9.00
992,PGH Hostal Quito,Quito,6.8,10.0,14,14.00
993,Bunker Hause,Quito,4.2,9.6,2,12.00
994,Hostel Rock & Quito,Quito,2.2,4.0,3,7.00
995,Hotel Gran Quitumbe,Quito,9.3,0.0,14,15.00
996,Casa Andina,Quito,3 fr,0.0,0,7.50
997,GUESTHOUSE NELSON,Quito,1.3,10.0,3,5.42
998,Latinos Brothers House,Quito,0.9,2.0,3,5.00
999,Hotel La Basilica,Quito,0.7,0.0,0,43.13
1000,Rincon Familiar Hostel Boutique,Quito,0.4,0.0,0,21.00
1001,Mia Leticia,Quito,0.6,0.0,21,24.50
1002,Dawn's Lodge,Quito,1.1,0.0,199,17.10
1003,Hostel Villa Bonita,Riobamba,0.5,9.7,47,11.00
1004,Chescos Hostel & Hotel,Salinas,1.2,9.4,146,9.90
1005,Hostal Haziel,Salinas,2.1,0.0,0,25.00
1006,Soga Lounge,Santa-Marianita,15.6,9.9,8,15.63
1007,Hostal Pakay,Tena,2 fr,9.5,203,8.50
1008,Hostal Naui,Tena,1.3,9.2,79,4.00
1009,Zumag Sisa,Tena,1.7,9.5,114,8.91
1010,Hostal Limoncocha,Tena,1.4,9.4,38,8.00
1011,Grand Selva Lodge & Tours,Tena,30.9,9.9,2,14.75
1012,Laguna Paikawe Reserve Lodge,Tena,17.4,0.0,0,11.50
1013,Selina Amazon Tena,Tena,12.7,8.6,12,23.00
1014,La Casa De Bamboo,Tonsupa,1 fr,0.0,0,18.00
1015,Selina Arequipa,Arequipa,0.7,8.9,181,9.78
1016,Arequipay Backpackers Downtown,Arequipa,0.7,9.2,2734,6.29
1017,Friendly AQP,Arequipa,0.6,9.5,918,5.24
1018,Le Foyer Arequipa,Arequipa,0.3,8.9,301,7.64
1019,Flying Dog Hostel Arequipa,Arequipa,0.4,8.6,353,7.92
1020,Hostal Sol de Oro,Arequipa,0.2,8.5,735,6.50
1021,Way Kap Hostel Arequipa,Arequipa,0.5,8.8,198,7.86
1022,Mango Hostel,Arequipa,0.4,8.1,315,6.55
1023,Holidays Hostel Arequipa,Arequipa,0 fr,8.7,40,7.20
1024,Positive Hostel,Arequipa,0.6,6.8,12,6.81
1025,Econunay,Arequipa,0.7,9.1,566,6.55
1026,Marlon's House in Arequipa,Arequipa,0.7,7.0,596,6.00
1027,Las Torres de Ugarte,Arequipa,0.5,10.0,236,20.00
1028,Chikan Hotel Arequipa,Arequipa,0.8,8.9,144,10.48
1029,Hotel Virreinal AQP,Arequipa,0.7,9.0,3,10.92
1030,Casa de Avila,Arequipa,0.7,9.4,130,20.38
1031,Peter's Hostel,Arequipa,0.2,6.3,84,5.00
1032,Orkkowasi,Arequipa,0.6,0.0,0,5.00
1033,La Posada de Ugarte,Arequipa,0.4,0.0,7,13.11
1034,Mr llama,Arequipa,0.3,0.0,0,7.34
1035,Hostal Lluvia de Oro,Arequipa,0.3,0.0,11,1.18
1036,Sambo's Hostel,Arequipa,0.3,8.9,3,6.25
1037,Hostal Carmen,Arequipa,0.9,0.0,1,5.24
1038,Villa Sillar,Arequipa,0.3,0.0,0,15.25
1039,Yakumama Hostel,Carhuaz,2.1,0.0,0,10.00
1040,La Tribu Hostel,Chachapoyas,0.6,9.4,2,6.00
1041,Chachapoyas Backpackers Hotel,Chachapoyas,0.8,9.5,3,8.74
1042,Kokopelli Hostel Cusco,Cusco,0.2,9.4,2161,8.91
1043,Hospedaje Turistico Recoleta,Cusco,1.1,9.5,3048,11.00
1044,Gaia House Hostel,Cusco,0.6,9.9,40,8.50
1045,Wild Rover Cusco,Cusco,0.9,8.0,2851,7.60
1046,loki Cusco,Cusco,0.8,8.7,1214,9.75
1047,Intro Hostels Cusco,Cusco,0.7,9.2,1979,8.00
1048,Pariwana Hostel Cusco,Cusco,0.2,8.6,6267,9.17
1049,Selina Plaza De Armas Cusco,Cusco,0.3,8.5,186,10.00
1050,VIP House,Cusco,0.6,9.5,1107,6.55
1051,Samay Wasi Youth Hostels-Cusco,Cusco,0.7,9.2,819,12.00
1052,Flying Dog Hostel Cusco,Cusco,0.6,8.7,146,9.16
1053,Supertramp Hostel Cusco,Cusco,0.7,9.5,434,10.22
1054,Tucan Hostel Cusco,Cusco,0.7,9.8,42,7.00
1055,Selina Saphi Cusco,Cusco,0.9,8.3,158,9.20
1056,Dragonfly Hostels Cusco,Cusco,0.5,8.9,853,7.86
1057,OkiDoki Cusco Hostal,Cusco,3.1,8.6,355,5.77
1058,La Picanteria Guesthouse,Cusco,0.9,7.2,9,4.72
1059,Saqray Hostel,Cusco,0.6,9.7,46,11.00
1060,Cusco Packers Hostels,Cusco,1 fr,8.9,373,1.31
1061,Hostal El Grial,Cusco,0.6,9.9,145,16.67
1062,Klix Hostel Cusco,Cusco,0.7,9.1,1,6.03
1063,Chusay Rooftop,Cusco,0.9,8.1,20,6.23
1064,Inkas Garden Hostel,Cusco,1.1,8.7,111,8.47
1065,Hommam,Cusco,0.3,9.0,2,10.00
1066,Hostal Tu Hogar,Cusco,0.5,9.7,1,8.30
1067,Hostal Cusco Internacional,Cusco,0.6,10.0,2,14.33
1068,La Posada del Viajero,Cusco,0.2,8.9,66,12.67
1069,Pirwa Backpackers Colonial,Cusco,0.4,7.9,1015,8.00
1070,The Grasshopper Hostel,Cusco,0.9,5.1,386,4.72
1071,International House Cusco,Cusco,0.4,0.0,0,8.74
1072,Banana's Adventure,Huacachina,0.2,9.4,2905,13.56
1073,Wild Rover Huacachina,Huacachina,0.1,8.4,869,8.91
1074,The Upcycled Hostel,Huacachina,0.9,9.1,676,13.11
1075,Hostal Huacachina Sunset,Huacachina,0.2,7.8,29,10.00
1076,El Boulevard,Huacachina,0.2,8.6,197,6.87
1077,Wild Olive Guesthouse,Huacachina,0.1,9.7,711,1.31
1078,La Casa de Bamboo,Huacachina,0.2,5.7,98,9.96
1079,Punta Huanchaco Hostel,Huanchaco,0.2,9.6,47,10.00
1080,Moksha Surf & Yoga Hostel,Huanchaco,0.1,8.5,59,6.99
1081,Indigan Surf Hostal,Huanchaco,0.5,9.3,14,6.55
1082,Wachaque Surf,Huanchaco,0.1,9.8,147,5.24
1083,Icaadventures 2,Ica,0.8,9.2,840,5.19
1084,Ica Wasi Hospedaje,Ica,1.2,9.6,754,4.47
1085,Oasis & Wind House,Ica,1.1,9.7,14,5.67
1086,El Huerto Hostel,Ica,0.3,9.1,25,19.22
1087,Amaris Tours Peru,Ica,1.6,6.1,73,9.83
1088,La Casa de Mamama,Ica,0.8,0.0,0,12.86
1089,Alpes Lima Kennedy Park,Lima,8.4,9.5,567,9.17
1090,Selina Miraflores Lima,Lima,8.6,8.9,328,9.00
1091,Kokopelli Hostel Barranco,Lima,11.2,9.4,75,10.83
1092,Pariwana Hostel Lima,Lima,8.1,9.2,4929,10.22
1093,1900 Backpackers Hostel,Lima,1.8,9.2,2856,8.00
1094,Black Llama Hostel Miraflores,Lima,8.2,9.4,58,9.74
1095,Selina Posada Miraflores,Lima,8.4,8.6,31,7.50
1096,Waikiki Hostel,Lima,8.8,9.3,2831,9.70
1097,The Secret Garden Hostel,Lima,7.9,9.6,65,6.36
1098,Flying Dog Hostels B&B,Lima,8.3,7.7,224,9.17
1099,Mama Backpackers,Lima,6.9,9.7,210,11.00
1100,"KACLLA, The Healing Dog Hostel",Lima,8.7,9.2,1234,10.48
1101,Flying Dog Hostels Backpackers,Lima,8.3,8.5,262,9.17
1102,Passion Hostels Barranco,Lima,11.2,9.5,12,8.19
1103,Tierras Viajeras Hostel Cultural,Lima,8.5,9.1,241,10.00
1104,Dragonfly Hostels Miraflores,Lima,8.5,8.8,127,14.00
1105,Lima House,Lima,1.5,8.7,288,10.00
1106,Tupac Hostel - Lima Airport,Lima,5.5,7.2,627,8.00
1107,Llaqta Wasi,Lima,9 fr,9.9,4,10.48
1108,Hotel Brickell,Lima,1.1,6.6,2,10.05
1109,The Prime Spot Backpacker's Hostel,Lima,7.3,9.0,831,7.50
1110,loki Lima,Lima,8.1,8.3,575,10.42
1111,Lima White House,Lima,9 fr,7.2,62,12.00
1112,Inkawasi Hostel Boutique,Lima,7.9,0.0,73,14.44
1113,Beraja Family Hostel,Lima,10.3,9.9,9,11.27
1114,Samanai Wasi,Lima,3.5,8.6,3,7.75
1115,Kurmi Hostel Lima Airport,Lima,8.7,9.7,100,9.96
1116,Hotel Solís Dies,Lima,8.4,0.0,0,15.00
1117,Transit Home Bed and Breakfast,Lima,7.9,10.0,6,17.00
1118,Dajoka Hospedaje,Lima,5.4,6.1,4,10.48
1119,Supertramp Hostel,Machu-Picchu,1 fr,9.3,2062,9.44
1120,Terrazas del Inca,Machu-Picchu,1 fr,10.0,294,25.00
1121,Modo Viaje Machupicchu Hostel,Machu-Picchu,0.9,0.0,10,12.00
1122,Retama Machupicchu,Machu-Picchu,1 fr,0.0,0,45.00
1123,Hostal Chaska Machupicchu**,Machu-Picchu,0.9,0.0,148,22.67
1124,Hotel Wiracocha Inn,Machu-Picchu,1 fr,0.0,46,30.00
1125,Casa de Luz Hotel,Machu-Picchu,0.8,0.0,35,31.67
1126,Wild Rover Beach Resort Mancora,Mancora,1.7,8.4,211,7.60
1127,Selina Mancora,Mancora,0.6,9.4,4,17.50
1128,The Point Mancora - Beach Hostel,Mancora,1.1,8.4,260,14.42
1129,loki del Mar,Mancora,0.5,6.9,893,8.34
1130,La Casa de Jessy,Mancora,1.4,6.0,13,5.24
1131,Hospedaje la Quebrada,Mancora,0.2,0.0,2,15.07
1132,Mancora Beach House,Mancora,1.8,0.0,0,12.00
1133,Sebas Guest House,Mancora,1.2,0.0,0,20.00
1134,Nasca Lodge,Nazca,1.3,9.7,539,6.00
1135,Nanasqa Hostel,Nazca,2 fr,9.5,389,5.22
1136,Nasca Trails B&B,Nazca,10.6,8.4,432,7.00
1137,Anccalla Inn,Nazca,1.4,9.4,39,9.03
1138,Mama Simona B&B - Ollantaytambo,Ollantaytambo,1.7,10.0,381,14.05
1139,Casa Samay,Ollantaytambo,1.9,8.1,160,8.33
1140,Casa Quechua Hostel & Camping,Ollantaytambo,0.8,9.2,124,5.24
1141,Hotel Humantay Lodge Ollantaytambo,Ollantaytambo,1.3,9.0,2,22.60
1142,San Isidro's House,Ollantaytambo,0.8,9.7,2,11.50
1143,Hostal Chaska Wasi,Ollantaytambo,1 fr,9.8,60,10.00
1144,Inka Khawarina Tambo Lodge,Ollantaytambo,1.5,7.6,3,12.50
1145,Las Portadas,Ollantaytambo,1.2,7.7,82,6.55
1146,B&B Picaflor Tambo,Ollantaytambo,1.2,0.0,2,23.33
1147,Kenti's Home Ollantaytambo,Ollantaytambo,1.2,0.0,1,11.36
1148,Mama Killa,Ollantaytambo,1.1,0.0,17,11.00
1149,Wolf Totem Guesthouse,Pisac,1.2,9.6,165,7.08
1150,El Parche Rutero Hostel,Pisac,0.9,8.6,29,7.00
1151,Intihuatana Hostel & Backpackers,Pisac,1 fr,8.6,31,4.19
1152,Hospedaje Chaska Pisac,Pisac,0.3,9.3,2,15.00
1153,Los Burritos Hostal,Puerto-Malabrigo-Chicama,0.9,8.6,26,10.00
1154,Villa Hermosa Casa Hospedaje,Puerto-Maldonado,3.9,0.0,0,12.00
1155,Casa Satori,Barra-de-Valizas,0.3,9.7,5,22.00
1156,Solar Valizas,Barra-de-Valizas,0.8,6.5,8,17.50
1157,Viejo Lobo,Cabo-Polonio,1.3,9.1,296,16.20
1158,Lobo Hostel Bar,Cabo-Polonio,1.2,7.8,290,9.07
1159,Narakan,Cabo-Polonio,1.2,10.0,61,26.75
1160,Carmelo Hostel & Garden,Carmelo,328.8,0.0,15,30.00
1161,Viajero Colonia Hostel,Colonia-del-Sacramento,0.6,8.4,3759,15.00
1162,Viajero Posada B&B,Colonia-del-Sacramento,0.7,8.9,575,27.00
1163,El Galope Horse Farm,Colonia-del-Sacramento,0.9,5.4,256,20.00
1164,La Casa de Teresa,Colonia-del-Sacramento,0.9,9.4,159,18.00
1165,La Brujula Hostel,La-Paloma,1.8,10.0,56,20.00
1166,Hostel Ibirapita,La-Paloma,1 fr,7.1,111,13.00
1167,Viajero La Pedrera Hostel,La-Pedrera,1.6,7.1,533,12.94
1168,Compay Hostel,La-Pedrera,2.1,8.6,95,9.00
1169,La Rubia Hostel,La-Pedrera,2 fr,0.0,20,15.00
1170,Piedra Alta,La-Pedrera,1.5,8.9,58,8.45
1171,Hostel Pico Alto,La-Pedrera,1.6,0.0,6,12.00
